回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2025-03-01,2026-02-28,13.0,7.0,7,20.0,467598.87,46.76,727,42.37
2025-03-01,2026-02-28,11.0,5.0,5,20.0,467435.33,46.74,818,41.93
2025-03-01,2026-02-28,10.0,3.0,10,25.0,467419.02,46.74,730,31.78
2025-03-01,2026-02-28,15.0,5.0,6,25.0,465371.2,46.54,695,41.58
2025-03-01,2026-02-28,13.0,4.0,10,25.0,465001.75,46.5,652,35.12
2025-03-01,2026-02-28,11.0,6.0,7,20.0,464179.72,46.42,764,42.54
2025-03-01,2026-02-28,13.0,4.0,7,20.0,463856.14,46.39,761,38.9
2025-03-01,2026-02-28,10.0,3.0,9,20.0,463848.89,46.38,736,31.79
2025-03-01,2026-02-28,13.0,3.0,5,25.0,462773.6,46.28,777,37.58
2025-03-01,2026-02-28,10.0,4.0,6,25.0,461722.96,46.17,810,39.38
2025-03-01,2026-02-28,13.0,4.0,5,25.0,459622.89,45.96,785,42.17
2025-03-01,2026-02-28,13.0,8.0,7,25.0,456533.9,45.65,635,41.26
2025-03-01,2026-02-28,11.0,5.0,7,25.0,456336.18,45.63,731,41.31
2025-03-01,2026-02-28,14.0,5.0,7,20.0,454502.71,45.45,760,40.0
2025-03-01,2026-02-28,9.0,5.0,10,25.0,453245.31,45.32,724,37.43
2025-03-01,2026-02-28,8.0,3.0,7,25.0,452587.32,45.26,785,37.07
2025-03-01,2026-02-28,13.0,8.0,7,20.0,452556.09,45.26,738,40.65
2025-03-01,2026-02-28,9.0,4.0,6,20.0,451971.45,45.2,871,38.81
2025-03-01,2026-02-28,9.0,5.0,9,25.0,450496.55,45.05,737,39.76
2025-03-01,2026-02-28,10.0,4.0,9,25.0,448784.77,44.88,740,36.89
2025-03-01,2026-02-28,13.0,4.0,6,25.0,448092.97,44.81,748,40.37
2025-03-01,2026-02-28,9.0,8.0,5,25.0,448128.85,44.81,765,47.32
2025-03-01,2026-02-28,12.0,4.0,9,25.0,447264.7,44.73,729,33.74
2025-03-01,2026-02-28,13.0,8.0,10,20.0,447343.43,44.73,672,36.9
2025-03-01,2026-02-28,9.0,4.0,5,25.0,446900.56,44.69,849,42.87
2025-03-01,2026-02-28,11.0,4.0,6,25.0,446401.83,44.64,791,38.43
