回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2022-03-01,2023-02-28,15.0,8.0,7,25.0,-373280.36,-37.33,353,33.99
2022-03-01,2023-02-28,10.0,9.0,9,25.0,-373472.77,-37.35,372,32.53
2022-03-01,2023-02-28,12.0,10.0,13,25.0,-373563.74,-37.36,358,27.37
2022-03-01,2023-02-28,10.0,8.0,12,20.0,-373775.14,-37.38,393,27.23
2022-03-01,2023-02-28,10.0,10.0,7,20.0,-373884.35,-37.39,404,33.91
2022-03-01,2023-02-28,11.0,3.0,15,20.0,-373901.16,-37.39,473,22.41
2022-03-01,2023-02-28,9.0,9.0,10,25.0,-374104.04,-37.41,382,29.58
2022-03-01,2023-02-28,5.0,7.0,5,20.0,-374069.42,-37.41,550,42.18
2022-03-01,2023-02-28,6.0,3.0,7,20.0,-374369.43,-37.44,492,28.25
2022-03-01,2023-02-28,8.0,7.0,8,25.0,-374524.8,-37.45,443,35.21
2022-03-01,2023-02-28,13.0,9.0,12,20.0,-375009.47,-37.5,355,27.61
2022-03-01,2023-02-28,12.0,3.0,10,25.0,-375213.83,-37.52,468,23.08
2022-03-01,2023-02-28,8.0,9.0,8,25.0,-375372.52,-37.54,422,35.07
2022-03-01,2023-02-28,11.0,9.0,7,20.0,-376115.43,-37.61,403,34.74
2022-03-01,2023-02-28,14.0,3.0,9,20.0,-376321.93,-37.63,429,25.17
2022-03-01,2023-02-28,12.0,7.0,11,20.0,-376418.34,-37.64,412,28.88
2022-03-01,2023-02-28,12.0,7.0,6,20.0,-376635.98,-37.66,465,34.19
2022-03-01,2023-02-28,9.0,8.0,8,20.0,-376939.27,-37.69,451,35.03
2022-03-01,2023-02-28,9.0,10.0,14,20.0,-377214.64,-37.72,408,31.13
2022-03-01,2023-02-28,11.0,10.0,10,25.0,-377456.56,-37.75,367,27.79
2022-03-01,2023-02-28,8.0,7.0,12,25.0,-378649.08,-37.86,408,28.43
2022-03-01,2023-02-28,12.0,9.0,12,20.0,-378770.45,-37.88,387,29.72
2022-03-01,2023-02-28,11.0,8.0,14,25.0,-379446.57,-37.94,363,24.79
2022-03-01,2023-02-28,11.0,8.0,15,20.0,-379524.87,-37.95,362,28.73
2022-03-01,2023-02-28,15.0,7.0,9,20.0,-379705.96,-37.97,353,29.46
2022-03-01,2023-02-28,11.0,3.0,9,20.0,-379744.75,-37.97,504,24.8
2022-03-01,2023-02-28,9.0,9.0,11,20.0,-380061.14,-38.01,384,27.34
2022-03-01,2023-02-28,9.0,9.0,11,25.0,-380472.74,-38.05,398,32.16
2022-03-01,2023-02-28,9.0,8.0,12,20.0,-380700.81,-38.07,419,29.12
2022-03-01,2023-02-28,9.0,10.0,7,25.0,-380910.95,-38.09,401,33.42
2022-03-01,2023-02-28,11.0,9.0,15,25.0,-381240.94,-38.12,350,27.14
2022-03-01,2023-02-28,10.0,4.0,13,20.0,-381625.59,-38.16,400,25.0
2022-03-01,2023-02-28,5.0,6.0,6,25.0,-381783.08,-38.18,496,41.53
2022-03-01,2023-02-28,12.0,8.0,7,20.0,-382377.73,-38.24,383,33.42
2022-03-01,2023-02-28,15.0,3.0,8,20.0,-382805.5,-38.28,414,24.88
2022-03-01,2023-02-28,7.0,10.0,8,20.0,-383114.32,-38.31,418,34.21
2022-03-01,2023-02-28,7.0,8.0,8,20.0,-383261.25,-38.33,399,34.59
2022-03-01,2023-02-28,5.0,3.0,14,20.0,-383424.06,-38.34,516,31.2
2022-03-01,2023-02-28,9.0,8.0,10,25.0,-383641.63,-38.36,409,29.34
2022-03-01,2023-02-28,13.0,7.0,7,20.0,-383700.56,-38.37,368,33.42
2022-03-01,2023-02-28,9.0,6.0,13,20.0,-383890.22,-38.39,404,29.46
2022-03-01,2023-02-28,9.0,8.0,13,25.0,-383987.71,-38.4,400,30.5
2022-03-01,2023-02-28,12.0,7.0,8,25.0,-384322.64,-38.43,411,32.85
2022-03-01,2023-02-28,9.0,8.0,7,20.0,-384912.56,-38.49,409,33.74
2022-03-01,2023-02-28,14.0,9.0,14,20.0,-385034.27,-38.5,345,27.25
2022-03-01,2023-02-28,9.0,9.0,14,20.0,-386380.91,-38.64,389,28.79
2022-03-01,2023-02-28,10.0,8.0,7,25.0,-386488.5,-38.65,412,33.01
2022-03-01,2023-02-28,13.0,5.0,13,20.0,-386671.44,-38.67,381,24.93
2022-03-01,2023-02-28,9.0,9.0,15,25.0,-386806.1,-38.68,403,29.03
2022-03-01,2023-02-28,12.0,8.0,5,25.0,-387129.55,-38.71,481,37.21
